# Stellar mass histogram output file. It gives the generated number of stars in different mass range.
# The columns are:
# mass_range_center mass_range mass_range_upper_limit mass_range_lower_limit star_number_in_the_mass_range

10.96240519303516 0.13888271964405696 11.031846552857187 10.89296383321313 15406
10.824396688316195 0.13713428979386855 10.89296383321313 10.755829543419262 15473
10.688125607733578 0.13540787137136867 10.755829543419262 10.620421672047893 15673
10.55357007841334 0.13370318726910568 10.620421672047893 10.486718484778788 15908
10.42070850284469 0.1320199638681956 10.486718484778788 10.354698520910592 16058
10.289519555413383 0.13035793099441761 10.354698520910592 10.224340589916174 16427
10.159982178978755 0.1287168218748409 10.224340589916174 10.095623768041333 16412
10.032075581493832 0.12709637309500366 10.095623768041333 9.96852739494633 16684
9.905779232668008 0.12549632455664295 9.96852739494633 9.843031070389687 16713
9.78107286067172 0.12391641943593079 9.843031070389687 9.719114650953756 17182
9.657936448882623 0.12235640414226623 9.719114650953756 9.59675824681149 17170
9.53635023267271 0.12081602827756122 9.59675824681149 9.475942218533929 17473
9.416294696235902 0.11929504459605589 9.475942218533929 9.356647173937873 17682
9.29775056945556 0.11779320896462409 9.356647173937873 9.238853964973249 17899
9.180698824811447 0.11631028032360113 9.238853964973249 9.122543684649647 18108
9.065120674325609 0.1148460206480788 9.122543684649647 9.007697664001569 18346
8.950997566546716 0.11340019490970477 9.007697664001569 8.894297469091864 18576
8.838311183572383 0.11197257103896341 8.894297469091864 8.7823248980529 18740
8.727043438108943 0.11056291988791322 8.7823248980529 8.671761978164987 19111
8.617176470568275 0.10917101519342332 8.671761978164987 8.562590962971564 19134
8.508692646201144 0.10779663354083979 8.562590962971564 8.454794329430724 19467
8.401574552266656 0.10643955432813534 8.454794329430724 8.348354775102589 19688
8.29580499523734 0.10509955973049756 8.348354775102589 8.243255215372091 19917
8.191366998039408 0.10377643466536668 8.243255215372091 8.139478780706725 20366
8.08824379732777 0.10246996675791031 8.139478780706725 8.037008813948814 20353
7.986418840795345 0.10117994630693872 8.037008813948814 7.935828867641876 20732
7.885875784516255 0.09990616625124105 7.935828867641876 7.8359227013906345 20781
7.786598490322458 0.09864842213635416 7.8359227013906345 7.73727427925428 21428
7.688571023213408 0.09740651208174622 7.73727427925428 7.639867767172534 21312
7.591777648798331 0.09618023674840614 7.639867767172534 7.543687530424128 21809
7.4962028307707 0.09496939930685677 7.543687530424128 7.448718131117271 21934
7.401831228414494 0.09377380540555436 7.448718131117271 7.354944325711717 22389
7.308647694141868 0.09259326313969751 7.354944325711717 7.262351062572019 22675
7.216637271061808 0.09142758302042253 7.262351062572019 7.170923479551597 22698
7.125785190579402 0.09027657794438948 7.170923479551597 7.080646901607207 23235
7.036076870025333 0.08914006316374934 7.080646901607207 6.991506838443458 23391
6.947497910315212 0.08801785625649128 6.991506838443458 6.903488982186967 23817
6.860034093638386 0.08690977709716208 6.903488982186967 6.816579205089805 23961
6.773671381175829 0.08581564782795237 6.816579205089805 6.730763557261852 24244
6.688395910846777 0.08473529283015058 6.730763557261852 6.646028264431702 24848
6.604193995083725 0.08366853869595303 6.646028264431702 6.562359725735749 24883
6.521052118635432 0.08261521420063289 6.562359725735749 6.479744511535116 25269
6.438956936397589 0.08157515027505369 6.479744511535116 6.398169361260062 25530
6.357895271270797 0.08054817997853103 6.398169361260062 6.317621181281531 26106
6.2778541120455085 0.07953413847204427 6.317621181281531 6.238087042809487 26059
6.198820611313603 0.07853286299176787 6.238087042809487 6.159554179817719 26791
6.120782083406242 0.07754419282295455 6.159554179817719 6.082009986994764 26886
6.043726002357696 0.07656796927413634 6.082009986994764 6.005442017720628 27287
5.9676399998948035 0.07560403565164897 6.005442017720628 5.929837982068979 27642
5.892511863451735 0.07465223723448844 5.929837982068979 5.855185744834491 28002
5.818329534209755 0.0737124212494713 5.855185744834491 5.781473323585019 28433
5.745081105161663 0.0727844368467121 5.781473323585019 5.708688886738307 28629
5.672754819200598 0.07186813507541778 5.708688886738307 5.636820751662889 29197
5.601339067232904 0.0709633688599709 5.636820751662889 5.5658573828029185 29500
5.530822386314755 0.07006999297632799 5.5658573828029185 5.4957873898265905 29910
5.461193457812238 0.0691878640287058 5.4957873898265905 5.426599525797885 30356
5.392441105584599 0.06831684042657127 5.426599525797885 5.3582826853713135 30551
5.32455429419036 0.06745678236190589 5.3582826853713135 5.290825903009408 31169
5.257522127116021 0.06660755178677391 5.290825903009408 5.224218351222634 31573
5.191333845027056 0.06576901239115607 5.224218351222634 5.158449338831478 31802
5.1259788240409385 0.06494102958107728 5.158449338831478 5.0935083092504 32549
5.0614465740219 0.06412347045700084 5.0935083092504 5.0293848387933995 32576
4.997726736897153 0.06331620379249348 5.0293848387933995 4.966068635000906 33387
4.934809084994323 0.06251910001316574 4.966068635000906 4.90354953498774 33530
4.872683519399803 0.061732031175875335 4.90354953498774 4.841817503811865 34159
4.811340068337772 0.0609548709481853 4.841817503811865 4.78086263286368 34449
4.7507688855696335 0.06018749458809225 4.78086263286368 4.720675138275587 35265
4.690960248813587 0.05942977892400059 4.720675138275587 4.661245359351587 35369
4.63190455818411 0.05868160233495345 4.661245359351587 4.602563757016633 36110
4.573592334651078 0.057942844731110554 4.602563757016633 4.544620912285523 36362
4.516014218518285 0.05721338753447469 4.544620912285523 4.487407524751048 37004
4.459160967921121 0.056493113659854544 4.487407524751048 4.4309144110911935 37515
4.403023457343155 0.05578190749607703 4.4309144110911935 4.3751325035951165 37900
4.347592676151404 0.05507965488742528 4.3751325035951165 4.320052848707691 38653
4.292859727150032 0.05438624311531903 4.320052848707691 4.265666605592372 39030
4.238815825152262 0.05370156088021982 4.265666605592372 4.211965044712152 39444
4.185452295570268 0.05302549828376879 4.211965044712152 4.158939546428384 40203
4.132760573022812 0.05235794681114392 4.158939546428384 4.10658159961724 40582
4.080732199960417 0.05169879931364463 4.10658159961724 4.054882800303595 41136
4.029358825307849 0.05104794999149309 4.054882800303595 4.003834850312102 42028
3.978632203123677 0.05040529437685004 4.003834850312102 3.953429555935252 42331
3.928544191276727 0.049770729317049955 3.953429555935252 3.903658826618202 42961
3.879086750139181 0.04914415295804231 3.903658826618202 3.8545146736601597 43586
3.8302519412961384 0.048525464728042866 3.8545146736601597 3.805989208932117 44107
3.7820319262714217 0.04791456532139016 3.805989208932117 3.7580746436107266 44858
3.7344189652694224 0.04731135668260844 3.7580746436107266 3.710763286928118 45248
3.687405415932785 0.046715741990666526 3.710763286928118 3.6640475449374517 46250
3.640983732115733 0.04612762564343775 3.6640475449374517 3.617919919294014 46472
3.595146462672836 0.04554691324235538 3.617919919294014 3.5723730060516585 47544
3.549886250263029 0.04497351157725937 3.5723730060516585 3.527399494474399 48177
3.5051958301686805 0.04440732861143726 3.527399494474399 3.482992165862962 48503
3.4610680291295375 0.04384827346684883 3.482992165862962 3.439143892396113 49489
3.417495764191342 0.04329625640954182 3.439143892396113 3.3958476359865712 50070
3.374472041568948 0.042751188835246534 3.3958476359865712 3.3530964471513247 50670
3.3319899555237473 0.04221298325515521 3.3530964471513247 3.3108834638961695 51555
3.2900426872552293 0.041681553281879946 3.3108834638961695 3.2692019106142896 52205
3.2486235038064977 0.041156813615583765 3.2692019106142896 3.228045096998706 53095
3.2077257569835593 0.04063868003029247 3.228045096998706 3.1874064169684133 53757
3.167342882288227 0.040127069360373024 3.1874064169684133 3.1472793476080403 54777
3.1274683978644466 0.039621899487187306 3.1472793476080403 3.107657448120853 54940
3.088095903457899 0.03912308932590758 3.107657448120853 3.0685343587949454 56427
3.049219079388693 0.038630558812504656 3.0685343587949454 3.0299037999824407 56764
3.010831685536993 0.03814422889089597 3.0299037999824407 2.991759571091545 57918
2.972927560341417 0.03766402150025572 2.991759571091545 2.954095549591289 58466
2.935500619810046 0.03718985956248533 2.954095549591289 2.9169056900288037 59563
2.8985448565438823 0.03672166696984247 2.9169056900288037 2.8801840230589613 60020
2.862054338772599 0.036259368572724604 2.8801840230589613 2.8439246544862367 61465
2.8260232094024333 0.03580289016760663 2.8439246544862367 2.80812176431863 62045
2.7904456850760653 0.03535215848512996 2.80812176431863 2.7727696058335 63003
2.7553160552443288 0.03490710117834306 2.7727696058335 2.737862504655157 64020
2.7206286812496128 0.03446764681108805 2.737862504655157 2.703394857844069 64717
2.686377995420801 0.03403372484653566 2.703394857844069 2.6693611329975333 65849
2.6525585001796017 0.03360526563586275 2.6693611329975333 2.6357558673616706 66899
2.619164767158135 0.03318220040707187 2.6357558673616706 2.6025736669545987 67706
2.5861914363276215 0.032764461253954824 2.6025736669545987 2.569809205700644 68941
2.5536332151380483 0.03235198112519111 2.569809205700644 2.5374572245754528 69614
2.521484877668659 0.03194469381358722 2.5374572245754528 2.5055125307618655 70835
2.489741263789141 0.03154253394544826 2.5055125307618655 2.4739699968164173 71924
2.4583972783313746 0.031145436970084983 2.4739699968164173 2.4428245598463323 73005
2.427447890271605 0.03075333914945455 2.4428245598463323 2.4120712206968777 73783
2.396888131922914 0.03036617754792692 2.4120712206968777 2.381705043148951 75233
2.366713098137858 0.029983890022185378 2.381705043148951 2.3517211531267654 76533
2.3369179455211397 0.029606415211251402 2.3517211531267654 2.322114737915514 77395
2.307497891652196 0.0292336925266361 2.322114737915514 2.292881045388878 78770
2.2784482143175717 0.028865662142612436 2.292881045388878 2.2640153832462655 79546
2.2497642507529574 0.028502264986616233 2.2640153832462655 2.2355131182596493 81291
2.221441396894768 0.028143442729762658 2.2355131182596493 2.2073696755298866 81950
2.1934751066411446 0.02778913777748393 2.2073696755298866 2.1795805377524027 83713
2.1658608911222603 0.027439293260284714 2.1795805377524027 2.152141244492118 84503
2.138594317979811 0.02709385302461431 2.152141244492118 2.1250473914675037 86145
2.111671010655577 0.026752761623853427 2.1250473914675037 2.0982946298436502 87428
2.085086647688943 0.026415964309414175 2.0982946298436502 2.071878665534236 88625
2.0588369620232596 0.026083407021952443 2.071878665534236 2.0457952585122836 90054
2.032917740320938 0.025755036382691276 2.0457952585122836 2.0200402221295923 91479
2.007324822287166 0.025430799684852845 2.0200402221295923 1.9946094224447395 92783
1.9820541000021406 0.025110644885197653 1.9946094224447395 1.9694987775595418 94392
1.9571015172617057 0.024794520595672553 1.9694987775595418 1.9447042569638693 95581
1.9324630689262887 0.024482376075161127 1.9447042569638693 1.9202218808887082 97343
1.9081348002780383 0.02417416122133975 1.9202218808887082 1.8960477196673684 98718
1.8841128063860504 0.023869826562636254 1.8960477196673684 1.8721778931047321 100553
1.8603932314795881 0.023569323250288043 1.8721778931047321 1.848608569854444 101290
1.836972268329193 0.023272603050502383 1.848608569854444 1.8253359668039417 103739
1.8138461576355849 0.02297961833671347 1.8253359668039417 1.8023563484672283 104850
1.7910111874262586 0.02269032208193944 1.8023563484672283 1.7796660263852888 106544
1.7684636924596728 0.02240466785123174 1.7796660263852888 1.757261358534057 108457
1.7462000536369446 0.022122609794224646 1.757261358534057 1.7351387487398324 110143
1.7242166974209459 0.021844102637773144 1.7351387487398324 1.7132946461020593 111619
1.7025100952627155 0.02156910167868764 1.7132946461020593 1.6917255444233716 113522
1.681076763035092 0.02129756277655903 1.6917255444233716 1.6704279816468126 115160
1.6599132604734765 0.021029442346672145 1.6704279816468126 1.6493985393001405 117725
